馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連単,11 → 9 → 15,21074,1,25821960
三連単,5 → 12 → 18,3096,2,22719340
三連単,15 → 6 → 14,21055,1,20840650
三連単,16 → 12 → 6,16420,1,20160320
三連単,8 → 13 → 3,27761,3,17677810
三連単,9 → 15 → 6,21078,1,17399210
三連単,16 → 2 → 7,16432,2,15302820
三連単,11 → 18 → 12,3095,1,12418000
三連単,6 → 9 → 17,3826,1,11466650
三連単,15 → 12 → 9,21068,1,10888480
三連単,6 → 16 → 4,16432,2,10874930
三連単,10 → 12 → 6,30494,2,10629480
三連単,16 → 5 → 7,16432,1,10252230
三連単,7 → 15 → 8,21076,2,10216590
三連単,12 → 9 → 10,30490,2,10131400
三連単,6 → 15 → 18,3095,1,9844000
三連単,5 → 16 → 14,16411,1,9796190
三連単,11 → 8 → 16,16426,1,9339420
三連単,11 → 12 → 13,27741,2,9185830
三連単,11 → 12 → 3,30497,3,9049650
三連単,5 → 12 → 16,16423,1,8943520
三連単,8 → 14 → 16,16407,1,8819800
三連単,8 → 13 → 10,27753,2,8705760
三連単,12 → 13 → 3,27755,1,8154000
三連単,4 → 18 → 10,3099,1,7832810
三連単,11 → 8 → 7,32460,1,7358980
三連単,17 → 7 → 10,3825,1,7345590
三連単,8 → 3 → 14,24765,2,7103380
三連単,6 → 18 → 8,3100,1,6926040
三連単,4 → 14 → 11,24765,2,6790800
三連単,9 → 13 → 3,27763,3,6737650
三連単,9 → 14 → 12,24751,2,6647540
三連単,10 → 4 → 13,27763,1,6383790
三連単,7 → 10 → 15,21077,1,6380330
三連単,12 → 3 → 15,21073,1,6371540
三連単,9 → 13 → 15,21064,1,6351370
三連単,12 → 9 → 4,30500,4,6133050
三連単,9 → 5 → 15,21080,2,5966060
三連単,13 → 2 → 10,27763,1,5959180
三連単,4 → 16 → 13,16421,1,5924530
三連単,3 → 16 → 13,16421,1,5895940
三連単,15 → 6 → 5,21081,1,5684540
三連単,15 → 3 → 8,21079,2,5669010
三連単,16 → 5 → 11,16430,1,5498270
三連単,7 → 15 → 14,21056,1,5408620
三連単,7 → 16 → 8,16428,1,5162260
三連単,9 → 3 → 18,3100,1,5158930
三連単,11 → 3 → 8,32464,10,5077070
三連単,8 → 12 → 9,30490,3,5044570
三連単,11 → 7 → 2,32470,8,5044490
三連単,10 → 3 → 14,24767,4,5018290
三連単,12 → 15 → 5,21071,1,4895820
三連単,16 → 1 → 14,16412,1,4875010
三連単,15 → 11 → 7,21076,2,4868020
三連単,13 → 3 → 10,27764,2,4829930
三連単,13 → 16 → 11,16416,1,4774670
三連単,13 → 4 → 12,27754,1,4746480
